time,temperature,humidity
1575001360.802965,9.00,59.00
1575001361.82898,9.00,59.00
1575001362.890165,9.00,59.00
1575001363.912555,9.00,59.00
1575001364.973231,9.00,59.00
1575001366.000309,9.00,59.00
1575001367.060683,9.00,59.00
1575001368.084316,9.00,59.00
1575001369.144878,9.00,59.00
1575001370.172267,9.00,60.00
1575001371.231462,9.00,60.00
1575001372.256525,9.00,60.00
1575001373.317082,9.00,60.00
1575001374.342973,9.00,60.00
1575001375.403552,9.00,60.00
1575001376.427289,9.00,60.00
1575001377.487933,9.00,60.00
1575001378.512251,9.00,60.00
1575001379.5724,9.00,60.00
1575001380.599928,9.00,60.00
1575001381.659201,9.00,60.00
1575001382.683851,9.00,60.00
1575001383.744137,9.00,60.00
1575001384.771571,9.00,60.00
1575001385.832684,9.00,60.00
1575001386.856115,9.00,60.00
1575001387.916738,9.00,60.00
1575001388.942495,9.00,60.00
1575001390.003037,9.00,60.00
1575001391.028257,9.00,60.00
1575001392.090144,9.00,60.00
1575001393.114947,9.00,60.00
1575001394.175551,9.00,60.00
1575001395.199341,9.00,60.00
1575001396.259986,9.00,60.00
1575001397.287419,9.00,60.00
1575001398.348042,9.00,60.00
1575001399.371385,9.00,60.00
1575001400.432129,9.00,60.00
1575001401.457046,9.00,60.00
1575001402.517609,9.00,60.00
1575001403.543655,9.00,60.00
1575001404.604193,9.00,60.00
1575001405.629225,9.00,60.00
1575001406.689572,9.00,60.00
1575001407.715828,9.00,60.00
1575001408.776463,9.00,60.00
1575001409.801321,9.00,60.00
1575001410.862286,9.00,60.00
1575001411.888347,9.00,60.00
1575001412.948953,9.00,60.00
1575001413.972824,9.00,60.00
1575001415.033542,9.00,60.00
1575001416.061255,9.00,60.00
1575001417.121869,9.00,60.00
1575001418.145832,9.00,60.00
1575001419.207228,9.00,60.00
1575001420.23401,9.00,60.00
1575001421.293484,9.00,60.00
1575001422.318414,9.00,60.00
1575001423.37946,9.00,60.00
1575001424.402689,9.00,60.00
1575001425.466349,9.00,60.00
1575001426.491104,9.00,60.00
1575001427.551856,9.00,60.00
1575001428.575559,9.00,60.00
1575001429.63603,9.00,60.00
1575001430.663506,9.00,60.00
1575001431.724346,9.00,60.00
1575001432.748217,9.00,60.00
1575001433.808611,9.00,60.00
1575001434.836315,9.00,60.00
1575001435.89716,9.00,60.00
1575001436.92059,9.00,61.00
1575001437.981597,9.00,61.00
1575001439.008909,9.00,61.00
1575001440.069858,9.00,61.00
1575001441.09672,9.00,61.00
1575001442.154322,9.00,61.00
1575001443.181149,9.00,61.00
1575001444.241522,9.00,61.00
1575001445.267461,9.00,61.00
1575001446.327702,9.00,61.00
1575001447.353874,9.00,61.00
1575001448.414675,9.00,61.00
1575001449.438765,9.00,61.00
1575001450.499549,9.00,61.00
1575001451.527281,9.00,61.00
1575001452.58801,9.00,61.00
1575001453.611907,9.00,61.00
1575001454.672761,9.00,61.00
1575001455.70035,9.00,61.00
1575001456.761209,9.00,61.00
1575001457.785087,9.00,61.00
1575001458.846064,9.00,61.00
1575001459.8723,9.00,61.00
1575001460.933115,9.00,61.00
1575001461.958063,9.00,61.00
1575001463.019034,9.00,61.00
1575001464.042559,9.00,61.00
1575001465.103087,9.00,61.00
1575001466.130824,9.00,61.00
1575001467.19169,9.00,61.00
1575001468.215475,9.00,61.00
1575001469.275984,9.00,61.00
1575001470.303646,9.00,61.00
1575001471.364495,9.00,61.00
1575001472.388295,9.00,61.00
1575001473.44894,9.00,61.00
1575001474.476503,9.00,61.00
1575001475.53751,9.00,61.00
1575001476.561082,9.00,61.00
1575001477.622111,9.00,61.00
1575001478.64958,9.00,61.00
1575001479.710669,9.00,61.00
1575001480.734528,9.00,61.00
1575001481.795287,9.00,61.00
1575001482.821755,9.00,61.00
1575001483.882592,9.00,61.00
1575001484.907813,9.00,61.00
1575001485.968814,9.00,61.00
1575001486.992065,9.00,61.00
1575001488.055703,9.00,61.00
1575001489.080494,9.00,61.00
1575001490.141616,9.00,61.00
1575001491.165199,9.00,61.00
1575001492.225919,9.00,61.00
1575001493.253511,9.00,61.00
1575001494.31426,9.00,61.00
1575001495.338174,9.00,61.00
1575001496.399027,9.00,61.00
1575001497.426943,9.00,61.00
1575001498.487608,9.00,61.00
1575001499.511279,9.00,61.00
1575001500.571894,9.00,61.00
1575001501.599595,9.00,61.00
1575001502.660558,9.00,61.00
1575001503.684575,9.00,62.00
1575001504.745288,9.00,62.00
1575001505.773078,8.00,62.00
1575001506.832778,8.00,62.00
1575001507.858212,8.00,62.00
1575001508.917915,8.00,62.00
1575001509.9457,9.00,62.00
1575001511.006471,9.00,62.00
1575001512.030442,9.00,62.00
1575001513.091782,9.00,62.00
1575001514.119176,8.00,62.00
1575001515.180049,8.00,62.00
1575001516.2038,8.00,62.00
1575001517.265018,8.00,62.00
1575001518.288506,8.00,62.00
1575001519.352334,8.00,62.00
1575001520.377441,9.00,62.00
1575001521.438201,9.00,62.00
1575001522.461926,8.00,62.00
1575001523.522809,8.00,62.00
1575001524.550348,8.00,62.00
1575001525.611112,8.00,62.00
1575001526.635167,9.00,62.00
1575001527.695654,9.00,62.00
1575001528.723222,8.00,62.00
1575001529.784296,8.00,62.00
1575001530.808161,8.00,62.00
1575001531.870008,8.00,62.00
1575001532.896634,9.00,62.00
1575001533.95764,9.00,62.00
1575001534.981521,8.00,62.00
1575001536.042281,8.00,62.00
1575001537.069844,8.00,62.00
1575001538.130746,8.00,62.00
1575001539.154558,8.00,62.00
1575001540.215845,8.00,62.00
1575001541.243245,9.00,62.00
1575001542.304129,9.00,62.00
1575001543.328291,8.00,62.00
1575001544.389136,8.00,62.00
1575001545.41564,8.00,62.00
1575001546.477122,8.00,62.00
1575001547.501798,9.00,62.00
1575001548.561349,9.00,62.00
1575001549.589242,8.00,62.00
1575001550.649976,8.00,62.00
1575001551.674083,8.00,62.00
1575001552.734973,8.00,62.00
1575001553.762663,8.00,62.00
1575001554.823575,8.00,62.00
1575001555.847846,8.00,62.00
1575001556.908753,8.00,62.00
1575001557.936372,8.00,62.00
1575001558.996102,8.00,62.00
1575001560.020964,8.00,62.00
1575001561.081845,8.00,62.00
1575001562.106631,8.00,62.00
1575001563.169408,8.00,62.00
1575001564.194297,8.00,62.00
1575001565.255199,8.00,62.00
1575001566.279377,8.00,62.00
1575001567.339822,8.00,62.00
1575001568.367556,8.00,62.00
1575001569.428387,8.00,62.00
1575001570.452079,8.00,62.00
1575001571.512752,8.00,62.00
1575001572.540591,8.00,62.00
1575001573.601395,8.00,62.00
1575001574.625483,8.00,62.00
1575001575.686262,8.00,62.00
1575001576.713757,8.00,62.00
1575001577.774657,8.00,62.00
1575001578.798615,8.00,62.00
1575001579.859702,8.00,62.00
1575001580.887263,8.00,62.00
1575001581.948217,8.00,62.00
1575001582.972277,8.00,62.00
1575001584.033092,8.00,62.00
1575001585.059662,8.00,62.00
1575001586.120537,8.00,62.00
1575001587.146081,8.00,62.00
1575001588.206923,8.00,62.00
1575001589.233347,8.00,62.00
1575001590.294223,8.00,62.00
1575001591.318403,8.00,62.00
1575001592.379276,8.00,62.00
1575001593.403858,8.00,62.00
1575001594.464544,8.00,62.00
1575001595.492247,8.00,62.00
1575001596.652445,8.00,62.00
1575001597.575887,8.00,62.00
1575001598.637874,8.00,62.00
1575001599.66559,8.00,62.00
1575001600.724241,8.00,62.00
1575001601.750362,8.00,62.00
1575001602.810943,8.00,62.00
1575001603.838835,8.00,62.00
1575001604.89964,8.00,62.00
1575001605.923425,8.00,62.00
1575001606.984856,8.00,62.00
1575001608.011145,8.00,62.00
1575001609.071859,8.00,62.00
1575001610.097162,8.00,62.00
1575001611.158051,8.00,62.00
1575001612.184666,8.00,62.00
1575001613.245593,8.00,62.00
1575001614.269643,8.00,62.00
1575001615.330749,8.00,62.00
1575001616.358492,8.00,62.00
1575001617.419354,8.00,62.00
1575001618.443184,8.00,62.00
1575001619.504486,8.00,62.00
1575001620.52943,8.00,62.00
1575001621.590181,8.00,62.00
1575001622.616682,8.00,62.00
1575001623.677883,8.00,62.00
1575001624.702909,8.00,62.00
1575001625.763239,8.00,62.00
1575001626.791165,8.00,62.00
1575001627.850759,8.00,62.00
1575001628.876595,8.00,62.00
1575001629.937336,8.00,62.00
1575001630.963597,8.00,62.00
1575001632.02475,8.00,62.00
1575001633.04912,8.00,62.00
1575001634.109829,8.00,62.00
1575001635.137589,8.00,62.00
1575001636.198463,8.00,62.00
1575001637.222496,8.00,62.00
1575001638.283446,8.00,62.00
1575001639.311319,8.00,62.00
1575001640.372185,8.00,62.00
1575001641.396031,8.00,62.00
1575001642.457555,8.00,62.00
1575001643.480813,8.00,62.00
1575001644.541436,8.00,62.00
1575001645.569358,8.00,62.00
1575001646.630422,8.00,62.00
1575001647.654133,8.00,62.00
1575001648.71621,8.00,62.00
1575001649.742788,8.00,62.00
1575001650.803479,8.00,62.00
1575001651.828779,8.00,62.00
1575001652.889576,8.00,62.00
1575001653.915999,8.00,62.00
1575001654.977199,8.00,62.00
1575001656.002264,8.00,62.00
1575001657.063028,8.00,62.00
1575001658.089442,8.00,62.00
1575001659.150502,8.00,62.00
1575001660.175786,8.00,62.00
1575001661.235581,8.00,62.00
1575001662.263082,8.00,62.00
1575001663.32393,8.00,62.00
1575001664.348162,8.00,62.00
1575001665.409344,8.00,62.00
1575001666.437079,8.00,62.00
1575001667.49689,8.00,62.00
1575001668.52216,8.00,62.00
1575001669.583145,8.00,62.00
1575001670.609632,8.00,62.00
1575001671.670662,8.00,62.00
1575001672.696247,8.00,62.00
1575001673.755708,8.00,62.00
1575001674.783469,8.00,62.00
1575001675.844392,8.00,62.00
1575001676.869086,8.00,62.00
1575001677.929975,8.00,62.00
1575001678.954322,8.00,62.00
1575001680.018782,8.00,62.00
1575001681.039898,8.00,62.00
1575001682.102695,8.00,62.00
1575001683.128065,8.00,62.00
1575001684.188855,8.00,62.00
1575001685.215194,8.00,62.00
1575001686.276242,8.00,62.00
1575001687.301282,8.00,62.00
1575001688.361882,8.00,62.00
1575001689.388805,8.00,62.00
1575001690.449322,8.00,62.00
1575001691.4744,8.00,62.00
1575001692.535873,8.00,62.00
1575001693.561915,8.00,62.00
